token	pos	sem	stanford-token	stanford-pos
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
to	TO	Z5	to	TO
spend	VVI	I1.2 A1.5.1 T1.3	spend	VB
on	II	Z5	on	IN
the	AT	Z5	the	DT
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
reason	NN1	A2.2 X2.1	reason	NN
is	VBZ	Z5 A3+	is	VBZ
I	PPIS1	Z8mf	I	PRP
went	VVN	M1	went	VBD
to	II	Z5	to	TO
New	NP1	Z2[i3.2.1 Z1mf[i2.2.1 Z3c[i2.2.1	New	NNP
York	NP1	Z2[i3.2.2 Z2 Z1mf Z1mf[i2.2.2 Z3c[i2.2.2	York	NNP
for	IF	Z5	for	IN
four	MC	N1 T3 T1.2	four	CD
days	NNT2	T1.3	days	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Sam	NP1	Z1mf	Sam	NNP
,	,	""	,	,
my	APPGE	Z8	my	PRP$
boyfriend	NN1	S3.2/S2.2m	boyfriend	NN
,	,	""	,	,
attended	VVD	S1.1.3+ X5.1+	attended	VBD
a	AT1	Z5	a	DT
programming	NN1	Y2 Q4.3 P1	programming	NN
conference	NN1	S1.1.3+	conference	NN
that	CST	Z8 Z5	that	WDT
was	VBDZ	Z5 A3+	was	VBD
held	VVN	M2 A1.1.1 A9+ X2.1 S7.1+/A1.7+	held	VBN
in	II	Z5	in	IN
Brooklyn	NP1	A4.1 T1.2 M7c G1.1c	Brooklyn	NNP
,	,	""	,	,
and	CC	Z5	and	CC
I	PPIS1	Z8mf	I	PRP
tagged	VVD	S1.1.3+[i4.2.1 Q1.2 X2.2+ Q2.2 Y2	tagged	VBD
along	RP	S1.1.3+[i4.2.2 M6	along	RB
.	.	""	.	.
-----	-----	""	-----	CD
It	PPH1	Z8	It	PRP
was	VBDZ	A3+ Z5	was	VBD
a	AT1	Z5	a	DT
perfect	JJ	A5.1+++ A1.2+++ Q3	perfect	JJ
opportunity	NN1	A1.4	opportunity	NN
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
to	TO	Z5	to	TO
try	VVI	X2.4[i5.2.1 X8+ X2.4 Q2.2 G2.1 A12-	try	VB
out	RP	X2.4[i5.2.2 M6	out	RP
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
hat	NN1	B5 I3.1@	hat	NN
to	TO	Z5	to	TO
see	VVI	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
if	CSW@	Z7	if	IN
it	PPH1	Z8	it	PRP
would	VM	A7+	would	MD
be	VBI	A3+ Z5	be	VB
possible	JJ	A7+	possible	JJ
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
to	TO	Z5	to	TO
travel	VVI	M1	travel	VB
and	CC	Z5	and	CC
work	VVI	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VB
at	II	T1.1.2[i6.4.1 Z5	at	IN
the	AT	T1.1.2[i6.4.2 Z5	the	DT
same	DA	T1.1.2[i6.4.3 A6.1+++	same	JJ
time	NNT1	T1.1.2[i6.4.4 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
.	.	""	.	.
-----	-----	""	-----	CD
Since	CS	Z5	Since	IN
I	PPIS1	Z8mf	I	PRP
wanted	VVD	X7+ S6+ A7+ S3.2 A9-	wanted	VBD
to	TO	Z5	to	TO
explore	VVI	M1 X2.4	explore	VB
the	AT	Z5	the	DT
city	NN1	M7c M7/I2.1c	city	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
had	VHD	A9+ Z5 A2.2 S4	had	VBD
just	RR	A14 T3--- T1.3- N3.3---	just	RB
enough	DD	N5+ N6+	enough	JJ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
for	IF	Z5	for	IN
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
to	TO	Z5	to	TO
keep	VVI	T2++[i7.3.1 X2.5+[i7.3.1 X9.2+[i7.3.1 A9+ N6+ T2++ A1.7+ A2.2 F4 S8+ H4 T2++[i8.2.1 S7.3+[i8.2.1 N5+[i8.2.1	keep	VB
up	RP	T2++[i7.3.2 X2.5+[i7.3.2 X9.2+[i7.3.2 T2++[i8.2.2 S7.3+[i8.2.2 N5+[i8.2.2	up	RP
with	IW	T2++[i7.3.3 X2.5+[i7.3.3 X9.2+[i7.3.3 Z5	with	IN
my	APPGE	Z8	my	PRP$
freelancers	NN2	S5-/S2mf	freelancers	NNS
.	.	""	.	.
-----	-----	""	-----	CD
NYC	NP1	Z99	NYC	NNP
,	,	""	,	,
Brooklyn	NP1	A4.1 T1.2 M7c G1.1c	Brooklyn	NNP
,	,	""	,	,
Fort	NP1	Z1mf[i11.3.1 Z3c[i11.3.1 Z2[i9.2.1 Z1mf[i10.2.1 Z3c[i10.2.1 Z2[i12.2.1	Fort	NNP
Green	NP1	Z1mf[i11.3.2 Z3c[i11.3.2 Z2[i9.2.2 Z1mf[i10.2.2 Z3c[i10.2.2 Z2[i12.2.2 Z2[i13.2.1 Z1mf[i14.2.1 Z3c[i14.2.1	Green	NNP
Park	NP1	Z3c[i11.3.3 Z1mf[i11.3.3 Z2[i13.2.2 Z1mf[i14.2.2 Z3c[i14.2.2	Park	NNP
:	:	""	:	:
Happy	JJ	E4.1+ E4.2+	Happy	JJ
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
here	RL	M6 T1.1.2 T1.2	here	RB
!	!	""	!	.
-----	-----	""	-----	CD
Fort	NP1	Z1mf[i17.3.1 Z3c[i17.3.1 Z2[i15.2.1 Z1mf[i16.2.1 Z3c[i16.2.1 Z2[i18.2.1	Fort	NNP
Green	NP1	Z1mf[i17.3.2 Z3c[i17.3.2 Z2[i15.2.2 Z1mf[i16.2.2 Z3c[i16.2.2 Z2[i18.2.2 Z2[i19.2.1 Z1mf[i20.2.1 Z3c[i20.2.1	Green	NNP
Park	NP1	Z3c[i17.3.3 Z1mf[i17.3.3 Z2[i19.2.2 Z1mf[i20.2.2 Z3c[i20.2.2	Park	NNP
,	,	""	,	,
Brooklyn	NP1	A4.1 T1.2 M7c G1.1c	Brooklyn	NNP
,	,	""	,	,
NYC	NP1	Z99	NYC	NNP
:	:	""	:	:
Happy	JJ	E4.1+ E4.2+	Happy	JJ
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
here	RL	M6 T1.1.2 T1.2	here	RB
!	!	""	!	.
-----	-----	""	-----	CD
Why	RRQ	A2.2	Why	WRB
did	VDD	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	did	VBD
I	PPIS1	Z8mf	I	PRP
want	VVI	X7+ S6+ A7+ S3.2 A9-	want	VBP
to	TO	Z5	to	TO
try	VVI	X2.4[i21.2.1 X8+ X2.4 Q2.2 G2.1 A12-	try	VB
it	PPH1	Z8	it	PRP
out	RP	X2.4[i21.2.2 M6	out	RP
?	?	""	?	.
-----	-----	""	-----	CD
Well	RR	A5.1+ A13.3 A7+ B2+ Z4	Well	UH
a	AT1	T1.1.1[i22.3.1 Z5	a	DT
while	NNT1@	T1.1.1[i22.3.2 T1.3	while	NN
ago	RA	T1.1.1[i22.3.3 T1.1.1	ago	RB
,	,	""	,	,
somebody	PN1	Z8mfc	somebody	NN
who	PNQS	Z8	who	WP
knows	VVZ	X2.2+ S3.2/B1%	knows	VBZ
about	II	Z5	about	IN
my	APPGE	Z8	my	PRP$
business	NN1	I2.1 A1.1.1 A5.1+++	business	NN
and	CC	Z5	and	CC
its	APPGE	Z8	its	PRP$
remote	JJ	N3.3+ S1.2.1-	remote	JJ
nature	NN1	W5 A4.1 S1.2 A6.2+	nature	NN
asked	VVD	Q2.2	asked	VBD
me	PPIO1	Z8mf	me	PRP
if	CS	Z7	if	IN
I	PPIS1	Z8mf	I	PRP
want	VV0	X7+ S6+ A7+ S3.2 A9-	want	VBP
to	TO	Z5	to	TO
start	VVI	T2+ E5- E3-	start	VB
travelling	VVG	M1	travelling	VBG
when	RRQ	Z5	when	WRB
I	PPIS1	Z8mf	I	PRP
get	VV0	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-	get	VBP
enough	DD	N5+ N6+	enough	JJ
money	NN1	I1	money	NN
from	II	Z5	from	IN
my	APPGE	Z8	my	PRP$
websites	NN2	Y2	websites	NNS
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
asked	VVD	Q2.2	asked	VBD
myself	PPX1	Z8mf	myself	PRP
the	AT	Z5	the	DT
same	DA	A6.1+++	same	JJ
question	NN1	Q2.2 X4.1	question	NN
And	CC	Z5	And	CC
the	AT	Z5	the	DT
answer	NN1	Q2.2 X4.1 X9.2+	answer	NN
is	VBZ	A3+ Z5	is	VBZ
no	RR%	Z6	no	DT
:	:	""	:	:
)	)	""	)	CD
Table	NN1	H5 Q1.2 N2	Table	NNP
of	IO	Z5	of	IN
Contents	NN2	A1.8+ Q2.1	Contents	NNP
What	DDQ	Z8 Z5	What	WDT
Is	VBZ	A3+ Z5	Is	VBZ
a	AT1	Z5	a	DT
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
?	?	""	?	.
-----	-----	""	-----	CD
Being	VBG	A3+ Z5	Being	VBG
a	AT1	Z5	a	DT
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
Looks	VVZ	A6.1+[i23.2.1 Z3c	Looks	VBZ
Like	II	A6.1+[i23.2.2 Z5	Like	IN
Fun	NN1	E4.1+	Fun	NN
!	!	""	!	.
-----	-----	""	-----	CD
Price	NN1	I1.3	Price	NN
Behind	II	Z5	Behind	IN
Looking	VVG	A6.1+[i24.2.1 A8 X3.4 X2.4 X7+ Z4	Looking	VBG
Like	II	A6.1+[i24.2.2 Z5	Like	IN
a	AT1	Z5	a	DT
Cool	JJ	O4.6- S1.2.1- O4.2+ E6+	Cool	NNP
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
Conclusion	NN1	X6+ T2-	Conclusion	NNP
What	DDQ	Z8 Z5	What	WDT
Is	VBZ	A3+ Z5	Is	VBZ
a	AT1	Z5	a	DT
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
?	?	""	?	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
first	MD	N4	first	RB
in	II	Z5	in	IN
the	AT	Z5	the	DT
case	NN1	A4.1 O2 G2.1 B3 X4.1 Q3	case	NN
you	PPY	Z8mf	you	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
not	XX	Z6	not	RB
know	VVI	X2.2+ S3.2/B1%	know	VB
what	DDQ	Z8 Z5	what	WP
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
,	,	""	,	,
lets	VVZ	S7.4+ I2.2/H1 T2-	lets	VBZ
see	VVI	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
what	DDQ	Z8 Z5	what	WP
means	VVZ	Q1.1 X7+	means	VBZ
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
and	CC	Z5	and	CC
why	RRQ	A2.2	why	WRB
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
so	RG	A13.3	so	RB
popular	JJ	E2+ S5+	popular	JJ
.	.	""	.	.
-----	-----	""	-----	CD
This	DD1	Z8 M6 Z5	This	DT
is	VBZ	A3+ Z5	is	VBZ
what	DDQ	Z5 Z8	what	WP
Wikipedia	NP1	Z99	Wikipedia	NNP
says	VVZ	Q2.1	says	VBZ
:	:	""	:	:
Digital	JJ	Z3c	Digital	NNP
nomads	NN2	M1/S2mf	nomads	NNS
are	VBR	A3+ Z5	are	VBP
individuals	NN2	S2mf	individuals	NNS
who	PNQS	Z8	who	WP
use	VV0	A1.5.1 S7.1+	use	VBP
telecommunications	NN2	Q1.3	telecommunications	NNS
technologies	NN2	Y1	technologies	NNS
to	TO	Z5	to	TO
earn	VVI	I3.1[i25.3.1 A9+/I1 S1.1.4+	earn	VB
a	AT1	I3.1[i25.3.2 Z5	a	DT
living	NN1	I3.1[i25.3.3 H4 L1+ I3.1 I1.1 S9%	living	NN
and	CC	Z5	and	CC
,	,	""	,	,
more	RGR	A13.3	more	RBR
generally	RR	A6.2+ A4.2- A13.2	generally	RB
,	,	""	,	,
conduct	VV0	A1.1.1 S1.1.1 K2 O4.1	conduct	VB
their	APPGE	Z8	their	PRP$
life	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1	life	NN
in	II	Z5	in	IN
a	AT1	Z5	a	DT
nomadic	JJ	M1	nomadic	JJ
manner	NN1	S1.1.1 X4.2	manner	NN
.	.	""	.	.
-----	-----	""	-----	CD
Such	DA	Z5 Z8	Such	JJ
workers	NN2	I3.1/S2mf	workers	NNS
typically	RR	A6.2+ A4.2+	typically	RB
work	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VBP
remotelyfrom	VV0	Z99	remotelyfrom	NN
home	RL	H4 M6	home	NN
,	,	""	,	,
coffee	NN1	F2/H1c[i26.2.1 F2	coffee	NN
shops	NN2	F2/H1c[i26.2.2 I2.2/H1 I4/H1 I2.2	shops	NNS
,	,	""	,	,
public	JJ	Q4.1/H1c[i27.2.1 S5+ A10+	public	JJ
libraries	NN2	Q4.1/H1c[i27.2.2 Q4.1/H1c	libraries	NNS
,	,	""	,	,
and	CC	Z5	and	CC
even	RR	A13.1	even	RB
recreational	JJ	K1	recreational	JJ
vehiclesto	NN1	Z99	vehiclesto	NN
accomplish	VV0	X9.2+	accomplish	VB
tasks	NN2	A1.1.1	tasks	NNS
and	CC	Z5	and	CC
goals	NN2	K5.1 X7+	goals	NNS
that	CST	Z8 Z5	that	WDT
traditionally	RR	S1.1.1 A6.2+ T3++	traditionally	RB
took	VVD	A1.1.1[i28.2.1 A9+ T1.3 C1 A1.1.1 M2 A2.1+ X2.4 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	took	VBD
place	NN1	A1.1.1[i28.2.2 M7 H1 A1.2 P1	place	NN
in	II	Z5	in	IN
a	AT1	Z5	a	DT
single	JJ	N5--- S5- S3.2- M3	single	JJ
,	,	""	,	,
stationary	JJ	M8	stationary	JJ
workplace	NN1	I3.1/M7	workplace	NN
.	.	""	.	.
-----	-----	""	-----	CD
Many	DA2	N5+	Many	JJ
people	NN	S2mfc	people	NNS
like	VV0@	E2+	like	IN
to	TO	Z5	to	TO
travel	VVI	M1	travel	VB
but	CCB	Z5	but	CC
many	DA2	N5+	many	JJ
are	VBR	Z5 A3+	are	VBP
limited	VVN	A1.7+	limited	VBN
in	II	Z5	in	IN
travelling	VVG	M1	travelling	VBG
by	II	Z5	by	IN
their	APPGE	Z8	their	PRP$
regular	JJ	A6.2+ N6+ O4.1 I3.1 T2++ A13.3	regular	JJ
jobs	NN2	I3.1 A1.1.1	jobs	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Being	VBG	A3+ Z5	Being	VBG
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
solves	VVZ	X9.2+	solves	VBZ
this	DD1	M6 Z5 Z8	this	DT
problem	NN1	A12- X4.1 B2-	problem	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
key	NN1	O2 X9.2+ Q1.2	key	NN
is	VBZ	A3+ Z5	is	VBZ
to	TO	Z5	to	TO
find	VVI	A10+ X2.1 X6+	find	VB
a	AT1	Z5	a	DT
remote	JJ	N3.3+ S1.2.1-	remote	JJ
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
and	CC	Z5	and	CC
do	VD0	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VBP
it	PPH1	Z8	it	PRP
while	CS	Z5	while	IN
being	VBG	A3+ Z5	being	VBG
on	II	Z5	on	IN
a	AT1	M3[i29.2.1 Z5	a	DT
road	NN1	M3[i29.2.2 M3 X4.2	road	NN
.	.	""	.	.
-----	-----	""	-----	CD
nyc	NN1	Z99	nyc	NN
brooklyn	NN1	A4.1 T1.2 M7c G1.1c	brooklyn	NN
bridge	NN1	H1 W3 A2.2/S3.1 H2/M4 B1 B3 O2 K5.2	bridge	NN
Being	VBG	A3+ Z5	Being	VBG
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
,	,	""	,	,
you	PPY	Z8mf	you	PRP
can	VM	A7+	can	MD
work	VVI	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VB
even	RR	A13.1	even	RB
from	II	Z5	from	IN
the	AT	Z5	the	DT
top	NN1	M6 N4 N5.1+ O2 B5 K6 N5.1-	top	NN
of	IO	Z5	of	IN
Brooklyn	NP1	Z2[i30.2.1	Brooklyn	NNP
Bridge	NN1	Z2[i30.2.2 H1 W3 A2.2/S3.1 H2/M4 B1 B3 O2 K5.2	Bridge	NNP
!	!	""	!	.
-----	-----	""	-----	CD
Being	VBG	A3+ Z5	Being	VBG
a	AT1	Z5	a	DT
Digital	JJ	Z3c	Digital	NNP
Nomad	NN1	M1/S2mf	Nomad	NNP
Looks	VVZ	A6.1+[i31.2.1 Z3c	Looks	VBZ
Like	II	A6.1+[i31.2.2 Z5	Like	IN
Fun	NN1	E4.1+	Fun	NN
!	!	""	!	.
-----	-----	""	-----	CD
When	CS	Z5	When	WRB
I	PPIS1	Z4[i32.2.1 Z8mf	I	PRP
see	VV0	Z4[i32.2.2 X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VBP
others	NN2	A6.1-/Z8	others	NNS
working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	working	VBG
in	II	Z5	in	IN
cafes	NN2	F1/H1	cafes	NNS
with	IW	Z5	with	IN
their	APPGE	Z8	their	PRP$
laptops	NN2	Y2	laptops	NNS
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
feel	VV0	X2.1 E1 X3	feel	VBP
a	AT1	Z5	a	DT
bit	NN1	N5- N5.1- O2 Y2	bit	NN
envy	VVI	S1.2.2+	envy	NN
.	.	""	.	.
-----	-----	""	-----	CD
These	DD2	Z5 Z8	These	DT
guys	NN2	S2.2m O2	guys	NNS
and	CC	Z5	and	CC
gals	NN2	S2.1f	gals	NNS
look	VV0	A8 X3.4 X2.4 X7+ Z4	look	VBP
being	VBG	A3+ Z5	being	VBG
so	RG	A13.3	so	RB
comfortable	JJ	O4.2+	comfortable	JJ
sitting	NN1@	M8 C1 P1 G1.1 G2.1 M6 A9+	sitting	VBG
in	II	Z5	in	IN
big	JJ	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+	big	JJ
comfy	JJ	O4.2+	comfy	JJ
chairs	NN2	H5 S7.1+mf P1	chairs	NNS
with	IW	Z5	with	IN
a	AT1	Z5	a	DT
big	JJ	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+	big	JJ
latte	NN1	F2	latte	NN
cup	NN1	O2 S7.3+ A5.1+/O2	cup	NN
and	CC	Z5	and	CC
deliciously	RR	X3.1+ O4.2+	deliciously	RB
looking	VVG	A8 X3.4 X2.4 X7+ Z4	looking	VBG
pastry	NN1	F1	pastry	NN
on	II	A12+[i33.3.1 Z5	on	IN
a	AT1	A12+[i33.3.2 Z5	a	DT
plate	NN1	A12+[i33.3.3 O2 C1 B3	plate	NN
next	II21	Z5[i34.2.1 A13.4[i34.2.1	next	JJ
to	II22	Z5[i34.2.2 A13.4[i34.2.2 Z5	to	TO
the	AT	Z5	the	DT
coffee	NN1	F2/O2[i35.2.1 F2	coffee	NN
cup	NN1	F2/O2[i35.2.2 O2 S7.3+ A5.1+/O2	cup	NN
.	.	""	.	.
-----	-----	""	-----	CD
They	PPHS2	Z8mfn	They	PRP
are	VBR	Z5 A3+	are	VBP
sitting	VVG	M8 C1 P1 G1.1 G2.1 M6 A9+	sitting	VBG
in	II	Z5	in	IN
a	AT1	Z5	a	DT
nicely	RR	A5.1+ O4.2+	nicely	RB
decorated	JJ	O4.2+ C1/H1 S1.1.4+	decorated	VBN
room	NN1	H2 N3.6	room	NN
surrounded	VVN	M6 A1.8+ A10- G3	surrounded	VBN
by	II	Z5	by	IN
people	NN	S2mfc	people	NNS
like	II	Z5	like	VBP
themselves	PPX2	Z8	themselves	PRP
;	;	""	;	:
they	PPHS2	Z8mfn	they	PRP
often	RR	N6+	often	RB
sit	VV0	M8 C1 P1 G1.1 G2.1 M6 A9+	sit	VBP
next	II21	Z5[i36.2.1 A13.4[i36.2.1	next	JJ
to	II22	Z5[i36.2.2 A13.4[i36.2.2 Z5	to	TO
the	AT	Z5	the	DT
window	NN1	H2 T1.3	window	NN
that	CST	Z8 Z5	that	WDT
makes	VVZ	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	makes	VBZ
people	NN	S2mfc	people	NNS
watching	VVG	X3.4 S7.1 X2.4 A1.3+	watching	VBG
so	RG	A13.3	so	RB
easy	JJ	A12+	easy	JJ
.	.	""	.	.
-----	-----	""	-----	CD
If	CS	Z7	If	IN
they	PPHS2	Z8mfn	they	PRP
get	VV0	A2.1+ A9+ Z5 X9.2+ A2.2 M1 M2 X2.5+ E4.1-	get	VBP
bored	JJ	X5.2- O4.1@	bored	VBN
with	IW	Z5	with	IN
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
,	,	""	,	,
there	EX	Z5	there	EX
is	VBZ	A3+ Z5	is	VBZ
always	RR	N6+++	always	RB
someone	PN1	Z8mfc	someone	NN
to	TO	Z5	to	TO
chat	VVI	Q2.1	chat	VB
with	IW	Z5	with	IN
even	CS21	Z7[i37.2.1	even	RB
if	CS22	Z7[i37.2.2 Z7	if	IN
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
barista	NN1	Z99	barista	NN
or	CC	Z5	or	CC
a	AT1	Z5	a	DT
waitress	NN1	I3.1/F1/S2.1f	waitress	NN
.	.	""	.	.
-----	-----	""	-----	CD
They	PPHS2	Z8mfn	They	PRP
look	VV0	O4.6-/A8[i38.2.1 A8 X3.4 X2.4 X7+ Z4	look	VBP
cool	JJ	O4.6-/A8[i38.2.2 O4.6- S1.2.1- O4.2+ E6+	cool	JJ
and	CC	Z5	and	CC
happy	JJ	E4.1+ E4.2+	happy	JJ
.	.	""	.	.
-----	-----	""	-----	CD
And	CC	Z5	And	CC
seemingly	RR	A8	seemingly	RB
,	,	""	,	,
they	PPHS2	Z8mfn	they	PRP
always	RR	N6+++	always	RB
find	VV0	A10+ X2.1 X6+	find	VBP
themselves	PPX2	Z8	themselves	PRP
in	II	Z5	in	IN
the	AT	Z5	the	DT
best	JJT	A5.1+++ G2.2+++ O4.2+++	best	JJS
places	NN2	M7 H1 A1.2 P1	places	NNS
of	IO	Z5	of	IN
the	AT	Z5	the	DT
word	NN1	Q3 Q2.1 S9@	word	NN
.	.	""	.	.
-----	-----	""	-----	CD
Once	CS@	Z5	Once	IN
they	PPHS2	Z8mfn	they	PRP
get	VV0	A2.1+ A9+ Z5 X9.2+ A2.2 M1 M2 X2.5+ E4.1-	get	VBP
bored	JJ	X5.2- O4.1@	bored	VBN
,	,	""	,	,
they	PPHS2	Z8mfn	they	PRP
can	VM	A7+	can	MD
pack	VVI	A1.1.1 N5+ A1.8+ B3	pack	VB
their	APPGE	Z8	their	PRP$
stuff	NN1	O1 O2	stuff	NN
and	CC	Z5	and	CC
move	VVI	M2 M1 A2.1+ E1 H4/A2.1	move	VB
to	II	Z5	to	TO
another	DD1	A6.1- N5++	another	DT
cool	JJ	O4.6- S1.2.1- O4.2+ E6+	cool	JJ
location	NN1	M7	location	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z4[i39.2.1 Z8mf	I	PRP
see	VV0	Z4[i39.2.2 X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VBP
the	AT	Z5	the	DT
same	DA	A6.1+++	same	JJ
people	NN	S2mfc	people	NNS
in	II	Z5	in	IN
airports	NN2	M5/M7	airports	NNS
.	.	""	.	.
-----	-----	""	-----	CD
They	PPHS2	Z8mfn	They	PRP
look	VV0	A1.1.1/A8[i40.2.1 A8 X3.4 X2.4 X7+ Z4	look	VBP
busy	JJ	A1.1.1/A8[i40.2.2 A1.1.1/N5+	busy	JJ
and	CC	Z5	and	CC
concentrated	VVD	X5.1+ I2.2% M6 N5+ O1.2 W3/I4	concentrated	VBD
they	PPHS2	Z8mfn	they	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
not	XX	Z6	not	RB
like	VVI	E2+	like	VB
