token	pos	sem	stanford-token	stanford-pos
you	PPY	Z8mf	you	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
any	DD	N5 N5.1+	any	DT
questions	NN2	Q2.2 X4.1	questions	NNS
or	CC	Z5	or	CC
comments	NN2	Q2.1	comments	NNS
or	CC	Z5	or	CC
you	PPY	Z8mf	you	PRP
see	VV0	X2.5+ X3.4 X2.1 S1.1.1 X2.3+ X3 A7+ Z4 S3.2	see	VBP
that	CST	Z8 Z5	that	IN
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
wrong	RR@	G2.2- A5.3-	wrong	JJ
feel	VV0	S7.4+[i3.2.1 X2.1 E1 X3	feel	VB
free	JJ	S7.4+[i3.2.2 S6- A1.7- A1.5.1- I1.3-	free	JJ
to	TO	Z5	to	TO
drop	VVI	M2 M1 N5-/A2.1 O1.2/M1 B2- T2- A9- A1.8- X9.2-/K5 X3.2	drop	VB
a	AT1	Z5	a	DT
line	NN1	O4.4 A4.1 Q1.3 X4.2 Q3 Q1.2 Q2.1/K4 S4 S7.1 A1.7+ A6.1- I3.1 M4@c G3@ K5.1@	line	NN
or	CC	Z5	or	CC
two	MC	N1 T3 T1.2	two	CD
in	II	Z5	in	IN
the	AT	Z5	the	DT
comments	NN2	Q2.1	comments	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Table	NN1	H5 Q1.2 N2	Table	NNP
of	IO	Z5	of	IN
Contents	NN2	A1.8+ Q2.1	Contents	NNP
What	DDQ	Z8 Z5	What	WDT
Is	VBZ	A3+ Z5	Is	VBZ
a	AT1	Z5	a	DT
Private	JJ	A10- S5- G1.1-	Private	JJ
Blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	Blog	NNP
Network	NN1	S5+c Q4.3 Y2	Network	NNP
?	?	""	?	.
-----	-----	""	-----	CD
Google	VV0	X2.4 M1	Google	NNP
And	CC	Z5	And	CC
PBN	NP1	Z99	PBN	NNP
Why	RRQ	A2.2	Why	WRB
Am	VBM	Z5 A3+	Am	VBP
I	PPIS1	Z8mf	I	PRP
Doing	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	Doing	VBG
It	PPH1	Z8	It	PRP
Then	RT	N4 Z5 T1.2	Then	RB
?	?	""	?	.
5	MC	N1	5	CD
Basic	JJ	Y2	Basic	JJ
Things	NN2	O2 X4.1 A7- S2mf L2mf	Things	NNS
To	II	Z5	To	TO
Watch	NN1	X3.4[i4.2.1 A1.3+[i4.2.1 T1/O2 M4	Watch	VB
Out	RP	X3.4[i4.2.2 A1.3+[i4.2.2 M6	Out	IN
What	DDQ	Z8 Z5	What	WP
Is	VBZ	A3+ Z5	Is	VBZ
a	AT1	Z5	a	DT
Private	JJ	A10- S5- G1.1-	Private	JJ
Blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	Blog	NNP
Network	NN1	S5+c Q4.3 Y2	Network	NNP
?	?	""	?	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	CC
What	DDQ	Z8 Z5	What	WP
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
private	JJ	A10- S5- G1.1-	private	JJ
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
or	CC	Z5	or	CC
PBN	NP1	Z99	PBN	NN
?	?	""	?	.
-----	-----	""	-----	CD
Wikipedia	NN1	Z99	Wikipedia	NNP
says	VVZ	Q2.1	says	VBZ
that	CST	Z5 Z8	that	IN
A	AT1@	Z5	A	DT
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
,	,	""	,	,
also	RR	N5++	also	RB
known	VVN	X2.2+ S3.2/B1%	known	VBN
as	II	Z5	as	IN
a	AT1	Z5	a	DT
link	NN1	A2.2 S5+ M3 Q1.3 F1 K5.1/M7%	link	NN
farm	NN1	F4/M7	farm	NN
,	,	""	,	,
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
group	NN1	S5+c A4.1c B3%	group	NN
of	IO	Z5	of	IN
blogs	NN2	Z1mf	blogs	NNS
that	CST	Z8 Z5	that	WDT
are	VBR	Z5 A3+	are	VBP
owned	VVN	A9+	owned	VBN
by	II	Z5	by	IN
the	AT	Z5	the	DT
same	DA	A6.1+++	same	JJ
entity	NN1	O2 S5+	entity	NN
.	.	""	.	.
-----	-----	""	-----	CD
A	AT1	Z5	A	DT
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
can	VM	A7+	can	MD
either	RR	Z5	either	RB
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
group	NN1	S5+c A4.1c B3%	group	NN
of	IO	Z5	of	IN
loosely	RR	A1.7- A4.2-	loosely	RB
connected	JJ	A2.2 S5+ M3 A1.1.1	connected	VBN
blogs	NN2	Z1mf	blogs	NNS
,	,	""	,	,
or	CC	Z5	or	CC
a	AT1	Z5	a	DT
group	NN1	S5+c A4.1c B3%	group	NN
of	IO	Z5	of	IN
blogs	NN2	Z1mf	blogs	NNS
that	CST	Z8 Z5	that	WDT
are	VBR	Z5 A3+	are	VBP
owned	VVN	A9+	owned	VBN
by	II	Z5	by	IN
the	AT	Z5	the	DT
same	DA	A6.1+++	same	JJ
company	NN1	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c	company	NN
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
purpose	NN1	X7+ A2.2 A1.5.1	purpose	NN
of	IO	Z5	of	IN
such	DA	A13.3[i5.2.1 Z5 Z8	such	PDT
a	AT1	A13.3[i5.2.2 Z5	a	DT
network	NN1	S5+c Q4.3 Y2	network	NN
is	VBZ	A3+ Z5	is	VBZ
usually	RR	A6.2+	usually	RB
to	TO	Z5	to	TO
promote	VVI	S8+ I2.2/Q2.2 S7.1+/A2.1	promote	VB
the	AT	Z5	the	DT
other	JJ	A6.1-	other	JJ
blogs	NN2	Z1mf	blogs	NNS
in	II	Z5	in	IN
the	AT	Z5	the	DT
same	DA	A6.1+++	same	JJ
network	NN1	S5+c Q4.3 Y2	network	NN
and	CC	Z5	and	CC
therefore	RR	Z5	therefore	RB
increase	VV0	N5+/A2.1	increase	VB
the	AT	Z5	the	DT
search	NN1	X2.4	search	NN
engine	NN1	O2 Y2@	engine	NN
rankings	NN2	A5.1	rankings	NNS
or	CC	Z5	or	CC
advertising	NN1	I2.2/Q2.1 X2.2+ A10+	advertising	NN
revenue	NN1	G1.1/I1 I1.1+ Z3c	revenue	NN
generated	VVN	A2.2 O3	generated	VBN
from	II	Z5	from	IN
online	JJ	Y2	online	JJ
advertising	NN1	I2.2/Q2.1 X2.2+ A10+	advertising	NN
on	II	Z5	on	IN
the	AT	Z5	the	DT
blogs	NN2	Z1mf	blogs	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Thus	RR	Z5/A2.2	Thus	RB
,	,	""	,	,
a	AT1	Z5	a	DT
private	JJ	A10- S5- G1.1-	private	JJ
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
network	NN1	S5+c Q4.3 Y2	network	NN
owned	VVN	A9+	owned	VBN
by	II	Z5	by	IN
one	MC1	N1 T3 T1.2	one	CD
person	NN1	S2mfc	person	NN
or	CC	Z5	or	CC
company	NN1	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c	company	NN
and	CC	Z5	and	CC
is	VBZ	Z5 A3+	is	VBZ
not	XX	Z6	not	RB
shared	VVN	S1.1.2+	shared	VBN
with	IW	Z5	with	IN
anybody	PN1	Z8mfc	anybody	NN
else	RR	A6.1- Z4	else	RB
.	.	""	.	.
-----	-----	""	-----	CD
The	AT	Z5	The	DT
advantages	NN2	A5.1+ K5.2	advantages	NNS
of	IO	Z5	of	IN
having	VHG	A9+ Z5 A2.2 S4	having	VBG
a	AT1	Z5	a	DT
PBN	NP1	Z99	PBN	NNP
are	VBR	A3+ Z5	are	VBP
pretty	RG	A13.5	pretty	RB
great	JJ	A5.1+ A11.1+ N3.2+ N5+ X5.2+ A13.3	great	JJ
:	:	""	:	:
fast	JJ	N3.8+	fast	JJ
ranking	NN1	A5.1	ranking	NN
of	IO	Z5	of	IN
money	NN1	I1	money	NN
websites	NN2	Y2	websites	NNS
;	;	""	;	:
increased	JJ	N5+/A2.1	increased	VBN
competitiveness	NN1	S7.3+	competitiveness	NN
compared	VVN	A6.1 A5.1 Q3	compared	VBN
to	II	Z5	to	TO
the	AT	Z5	the	DT
other	JJ	A6.1-	other	JJ
websites	NN2	Y2	websites	NNS
in	II	Z5	in	IN
the	AT	Z5	the	DT
niche	NN1	O2 I3.1	niche	NN
.	.	""	.	.
-----	-----	""	-----	CD
Meanwhile	RR	T1.1.2	Meanwhile	RB
,	,	""	,	,
the	AT	Z5	the	DT
disadvantages	NN2	A5.1-	disadvantages	NNS
are	VBR	A3+ Z5	are	VBP
pretty	RG	A13.5	pretty	RB
horrible	JJ	O4.2-	horrible	JJ
.	.	""	.	.
-----	-----	""	-----	CD
There	EX	Z5	There	EX
is	VBZ	A3+ Z5	is	VBZ
only	RR	A14	only	RB
one	MC1	N1 T3 T1.2	one	CD
disadvantage	NN1	A5.1-	disadvantage	NN
in	II	A5.2+[i6.2.1 Z5	in	IN
fact	NN1	A5.2+[i6.2.2 A5.2+ X2.2	fact	NN
:	:	""	:	:
if	CS	Z7	if	IN
Google	NP1	A4.1 T1.2 X2.4 O2 Y2@	Google	NNP
finds	VVZ	X2.3+[i7.2.1 A10+ X2.1 X6+	finds	VBZ
out	RP	X2.3+[i7.2.2 M6	out	RP
about	II	Z5	about	IN
it	PPH1	Z8	it	PRP
,	,	""	,	,
it	PPH1	Z8	it	PRP
will	VM	T1.1.3	will	MD
deindex	VVI	Z99	deindex	VB
PBN	NP1	Z99	PBN	NNP
and	CC	Z5	and	CC
strip	VVI	B5- A1.1.1 A9-	strip	VB
your	APPGE	Z8	your	PRP$
money	NN1	I1	money	NN
website	NN1	Y2	website	NN
from	II	Z5	from	IN
ranking	VVG	A5.1	ranking	VBG
so	RG	A13.3	so	RB
all	DB	N5.1+	all	RB
your	APPGE	Z8	your	PRP$
hard	JJ	A12-[i8.2.1 O4.5 A12- S1.2.5+ O4.1	hard	JJ
work	NN1	A12-[i8.2.2 I3.1 A1.1.1 Q4 K2 C1	work	NN
will	VM	T1.1.3	will	MD
go	VVI	M1[i9.2.1 E2[i9.2.1 N5-/A2.1[i9.2.1 S7.1-/A2.1[i9.2.1 A1.1.1[i9.2.1 B2-[i9.2.1 P1%[i9.2.1 M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	go	VB
down	RP	M1[i9.2.2 E2[i9.2.2 N5-/A2.1[i9.2.2 S7.1-/A2.1[i9.2.2 A1.1.1[i9.2.2 B2-[i9.2.2 P1%[i9.2.2	down	RP
the	AT	Z5	the	DT
sewage	NN1	O1.2/O4.2-	sewage	NN
.	.	""	.	.
-----	-----	""	-----	CD
Google	VV0	X2.4 M1	Google	NNP
And	CC	Z5	And	CC
PBN	NP1	Z1mf[i10.2.1 Z3c[i10.2.1	PBN	NNP
Google	NP1	Z1mf[i10.2.2 Z3c[i10.2.2	Google	NNP
has	VHZ	Z5 A9+ A2.2 S4	has	VBZ
never	RR	T1/Z6	never	RB
liked	VVN	E2+	liked	VBN
PBNs	NP1	Z99	PBNs	NNS
.	.	""	.	.
-----	-----	""	-----	CD
This	DD1	M6 Z5 Z8	This	DT
way	NN1	X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3	way	NN
of	IO	Z5	of	IN
ranking	VVG	A5.1	ranking	JJ
websites	NN2	Y2	websites	NNS
has	VHZ	Z5 A9+ A2.2 S4	has	VBZ
been	VBN	Z5 A3+	been	VBN
always	RR	N6+++	always	RB
considered	VVN	X2.1 X2.4 X6	considered	VBN
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
gray	JJ	O4.3	gray	JJ
/	FO	Z5	/	:
black	JJ	O4.3 G2.2- A5.1- E4.1- S5+	black	JJ
hat	NN1	B5 I3.1@	hat	NN
SEO	NN1	Z99	SEO	NNP
.	.	""	.	.
-----	-----	""	-----	CD
If	CS	Z7	If	IN
Google	NP1	A4.1 T1.2 X2.4 O2 Y2@	Google	NNP
finds	VVZ	X2.3+[i11.2.1 A10+ X2.1 X6+	finds	VBZ
out	RP	X2.3+[i11.2.2 M6	out	RP
that	CST	Z5 Z8	that	IN
blogs	NN2	Z1mf	blogs	NNS
exist	VV0	A3+	exist	VBP
only	RR	A14	only	RB
to	TO	Z5	to	TO
improve	VVI	A5.1+/A2.1	improve	VB
ranking	NN1	A5.1	ranking	NN
of	IO	Z5	of	IN
some	DD	N5 Z5	some	DT
other	JJ	A6.1-	other	JJ
website	NN1	Y2	website	NN
,	,	""	,	,
that	DD1	Z5 Z8	that	WDT
website	NN1	Y2	website	NN
will	VM	T1.1.3	will	MD
get	VVI	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-	get	VB
a	AT1	Z5	a	DT
serious	JJ	A11.1+ A15- E4.1-	serious	JJ
penalty	NN1	G2.1 I1.3 K5.1	penalty	NN
(	(	""	(	NN
by	II	Z5	by	IN
being	VBG	Z5 A3+	being	VBG
pushed	VVN	M2 M1 S7.1+ X8+ I2.2 F3 I3.1-	pushed	VBN
waaay	VV0	Z99	waaay	NN
back	RP	M6 N6+ T1.1.1 S1.1.2+	back	RB
down	II@	Z5	down	IN
the	AT	Z5	the	DT
search	NN1	X2.4	search	NN
results	NN2	A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2	results	VBZ
)	)	""	)	NN
and	CC	Z5	and	CC
the	AT	Z5	the	DT
blogs	NN2	Z1mf	blogs	NNS
will	VM	T1.1.3	will	MD
get	VVI	A2.1+ A9+ Z5 X9.2+ A2.2 M1 M2 X2.5+ E4.1-	get	VB
deindexed	JJ@	Z99	deindexed	VBN
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
the	AT	Z5	the	DT
main	JJ	A11.1+ N5+++	main	JJ
goal	NN1	K5.1 X7+	goal	NN
here	RL	M6 T1.1.2 T1.2	here	RB
is	VBZ	A3+ Z5	is	VBZ
to	TO	Z5	to	TO
over-play	VVI	F1 S2/E2+mf K4/S2mf Y2 B3@ Z8 Z5 X9.1+ M6 N4 N5++ T2- A1.1.1 N5+/A2.1 N5.2+ K5 K4 A5.4- G2.1 P1% T1.1.2 A8 K5.1 K1 K5.2 K2 K3 K6	over-play	VB
Google	NN1	A4.1 T1.2 X2.4 O2 Y2@	Google	NNP
by	II	Z5	by	IN
hiding	VVG	A10-	hiding	VBG
the	AT	Z5	the	DT
true	JJ	A5.2+ A5.4+	true	JJ
nature	NN1	W5 A4.1 S1.2 A6.2+	nature	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
blogs	NN2	Z1mf	blogs	NNS
.	.	""	.	.
-----	-----	""	-----	CD
As	CSA	Z5	As	IN
one	MC1	N1 T3 T1.2	one	CD
of	IO	Z5	of	IN
the	AT	Z5	the	DT
recent	JJ	T3-	recent	JJ
examples	NN2	A4.1	examples	NNS
comes	VVZ	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2	comes	VBZ
a	AT1	Z5	a	DT
story	NN1	Q2.1 X4.1 Q4	story	NN
by	II	Z5	by	IN
Matthew	NP1	Z1m S9/O1.2	Matthew	NNP
from	II	Z5	from	IN
DumbPassiveIncome.com	NP1	Z99	DumbPassiveIncome.com	NNP
.	.	""	.	.
-----	-----	""	-----	CD
In	II	Z5	In	IN
October	NPM1	T1.3[i12.2.1 T1.3	October	NNP
last	MD	T1.3[i12.2.2 T1.1.1[i14.2.1 N4 T1.3[i13.2.1 P1/S2mf[i13.2.1	last	JJ
year	NNT1	T1.1.1[i14.2.2 T1.3 P1c T1.3[i13.2.2 P1/S2mf[i13.2.2	year	NN
,	,	""	,	,
he	PPHS1	Z8m	he	PRP
lost	VVD	X9.2- A9- M6/A5.3- L1-	lost	VBD
4	MC	N1 T1.2 T3 T1.3 N3.2	4	CD
(	(	""	(	CD
four	MC	N1 T3 T1.2	four	CD
!	!	""	!	.
)	)	""	)	CD
of	IO	Z5	of	IN
his	APPGE	Z8m	his	PRP$
niche	NN1	O2 I3.1	niche	NN
website	NN1	Y2	website	NN
in	II	Z5	in	IN
one	MC1	T1.1.3[i15.2.1 T1.1.1[i15.2.1 N1 T3 T1.2	one	CD
day	NNT1	T1.1.3[i15.2.2 T1.1.1[i15.2.2 T1.3	day	NN
.	.	""	.	.
-----	-----	""	-----	CD
Horrible	JJ	O4.2-	Horrible	JJ
,	,	""	,	,
isnt	VV0	Z99	isnt	VB
it	PPH1	Z8	it	PRP
?	?	""	?	.
-----	-----	""	-----	CD
Matthew	NP1	Z1m S9/O1.2	Matthew	NNP
suspects	VVZ	X2.1/A5.1- A7	suspects	VBZ
that	CST	Z5 Z8	that	IN
the	AT	Z5	the	DT
reason	NN1	A2.2 X2.1	reason	NN
was	VBDZ	A3+ Z5	was	VBD
partially	RR	A13.6	partially	RB
a	AT1	Z5	a	DT
PBN	NP1	Z99	PBN	NNP
.	.	""	.	.
-----	-----	""	-----	CD
He	PPHS1	Z8m	He	PRP
shared	VVD	S1.1.2+	shared	VBD
his	APPGE	Z8m	his	PRP$
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
with	IW	Z5	with	IN
other	JJ	A6.1-	other	JJ
webmasters	NN2	Y1/S2mf X9.1+/S2mf	webmasters	NNS
and	CC	Z5	and	CC
allowed	VVD	S7.4+ S8+ X2.1	allowed	VBD
them	PPHO2	Z8mfn	them	PRP
to	TO	Z5	to	TO
host	VVI	S1.1.1	host	VB
his	APPGE	Z8m	his	PRP$
links	NN2	A2.2 S5+ M3 Q1.3 F1 K5.1/M7%	links	NNS
on	II	Z5	on	IN
their	APPGE	Z8	their	PRP$
blogs	NN2	Z1mf	blogs	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Meaning	VVG	Q1.1 X7+	Meaning	VBG
his	APPGE	Z8m	his	PRP$
blog	NN1	L2 O2 A1.1.1 Q1.2 N2 Q4.2	blog	NN
network	NN1	S5+c Q4.3 Y2	network	NN
was	VBDZ	A3+ Z5	was	VBD
not	XX	Z6	not	RB
private	JJ	A10- S5- G1.1-	private	JJ
anymore	RR	Z5	anymore	RB
.	.	""	.	.
-----	-----	""	-----	CD
Eventually	RR	N4	Eventually	RB
,	,	""	,	,
Matthew	NP1	Z1m S9/O1.2	Matthew	NNP
lost	VVD	X5.1-[i16.2.1 X9.2- A9- M6/A5.3- L1-	lost	VBD
track	NN1	X5.1-[i16.2.2 M3 O2 K3 A4.1 X4.1 K5.1/M7	track	NN
of	IO	Z5	of	IN
his	APPGE	Z8m	his	PRP$
blackhat	NN1	Z99	blackhat	NN
buddies	NN2	S3.1mf	buddies	NNS
and	CC	Z5	and	CC
their	APPGE	Z8	their	PRP$
blogs	NN2	Z1mf	blogs	NNS
and	CC	Z5	and	CC
thus	RR	Z5/A2.2	thus	RB
,	,	""	,	,
he	PPHS1	Z8m	he	PRP
lost	VVD	X9.2- A9- M6/A5.3- L1-	lost	VBD
control	NN1	S7.1+ A1.7+ O2	control	NN
over	II	Z5	over	IN
what	DDQ	Z8 Z5	what	WP
was	VBDZ	Z5 A3+	was	VBD
happening	VVG	A2.1+ A3+ X7-	happening	VBG
with	IW	Z5	with	IN
a	AT1	Z5	a	DT
crucial	JJ	A11.1+	crucial	JJ
part	NN1	N5.1- O2 M7 I3.1 S1.1.3+ K4	part	NN
of	IO	Z5	of	IN
his	APPGE	Z8m	his	PRP$
money-making	JJ	I1.1+	money-making	JJ
machine	NN1	O2 Y2	machine	NN
.	.	""	.	.
-----	-----	""	-----	CD
Because	II21	A2.2[i17.2.1	Because	IN
of	II22	A2.2[i17.2.2	of	IN
that	DD1	Z8 Z5	that	DT
,	,	""	,	,
troubles	NN2	E6- A12- B2- E3- X8+ O4.2-	troubles	NNS
had	VHD	Z5 A9+ A2.2 S4	had	VBD
eventually	RR	N4	eventually	RB
found	VVN	A10+ X2.1 X6+.1	found	VBN
him	PPHO1	Z8m	him	PRP
